0,1,2,3
13013,2022-02-25 20:02:28.043126,52.501855,13.316879
13391,2022-02-25 20:02:28.043126,52.528143,13.392144
14553,2022-02-25 20:02:28.043126,52.511937,13.408501
13411,2022-02-25 20:02:28.043126,52.509865,13.381383
13503,2022-02-25 20:02:28.043126,52.521414,13.485667
13022,2022-02-25 20:02:28.043126,52.519586,13.421872
13291,2022-02-25 20:02:28.043126,52.498169,13.436177
13601,2022-02-25 20:02:28.043126,52.531871,13.342972
14575,2022-02-25 20:02:28.043126,52.529268,13.387696
13055,2022-02-25 20:02:28.043126,52.470486,13.442489
13204,2022-02-25 20:02:28.043126,52.528398,13.468713
13329,2022-02-25 20:02:28.043126,52.533509,13.350174
13101,2022-02-25 20:02:28.043126,52.500584,13.366287
13360,2022-02-25 20:02:28.043126,52.506974,13.385979
13928,2022-02-25 20:02:28.043126,52.51589,13.402768
14502,2022-02-25 20:02:28.043126,52.537646,13.401743
13831,2022-02-25 20:02:28.043126,52.494237,13.372173
13951,2022-02-25 20:02:28.043126,52.500584,13.366287
14446,2022-02-25 20:02:28.043126,52.484776,13.43105
13659,2022-02-25 20:02:28.043126,52.50655,13.371926
13534,2022-02-25 20:02:28.043126,52.529268,13.387696
14450,2022-02-25 20:02:28.043126,52.501996,13.421192
15114,2022-02-25 20:02:28.043126,52.529278,13.387693
14945,2022-02-25 20:02:28.043126,52.526796,13.411078
13697,2022-02-25 20:02:28.043126,52.501991,13.416296
15022,2022-02-25 20:02:28.043126,52.50681,13.289327
14857,2022-02-25 20:02:28.043126,52.52969,13.45723
14363,2022-02-25 20:02:28.043126,52.510006,13.36465
15055,2022-02-25 20:02:28.043126,52.546602,13.40997
14785,2022-02-25 20:02:28.043126,52.50442,13.434614
15832,2022-02-25 20:02:28.043126,52.546593,13.409986
15381,2022-02-25 20:02:28.043126,52.552848,13.357288
15214,2022-02-25 20:02:28.043126,52.504466,13.434643
16075,2022-02-25 20:02:28.043126,52.515824,13.402785
15320,2022-02-25 20:02:28.043126,52.513688,13.406205
15915,2022-02-25 20:02:28.043126,52.515779,13.402832
15343,2022-02-25 20:02:28.043126,52.515824,13.402785
16203,2022-02-25 20:02:28.043126,52.508691,13.372058
16310,2022-02-25 20:02:28.043126,52.470475,13.442492
14007,2022-02-25 20:02:28.043126,52.501951,13.416244
14353,2022-02-25 20:02:28.043126,52.513001,13.403951
19988,2022-02-25 20:02:28.043126,52.521182,13.309776
13566,2022-02-25 20:02:28.043126,52.510099,13.307273
14029,2022-02-25 20:02:28.043126,52.505689,13.386357
14820,2022-02-25 20:02:28.043126,52.50502,13.439838
15059,2022-02-25 20:02:28.043126,52.503751,13.291298
16024,2022-02-25 20:02:28.043126,52.502507,13.324154
16051,2022-02-25 20:02:28.043126,52.508243,13.332507
15174,2022-02-25 20:02:28.043126,52.480093,13.351993
13339,2022-02-25 20:02:28.043126,52.479984,13.351905
